feature,importance
cat__JobRole_Research Director,1.5428473190462824
cat__JobRole_Sales Representative,1.2218417195266198
cat__JobRole_Laboratory Technician,1.1083980026712317
cat__BusinessTravel_Non-Travel,1.0541665434880358
cat__OverTime_No,0.9022896292308344
cat__BusinessTravel_Travel_Frequently,0.8059274451603783
cat__OverTime_Yes,0.7600336372076324
cat__EducationField_Other,0.7157425166199742
cat__TenureBucket_<1yr,0.6607891199729572
cat__EducationField_Human Resources,0.6544798737506643
num__TotalWorkingYears,0.6365868728583404
cat__JobRole_Healthcare Representative,0.604319510183709
num__MonthlyIncome,0.5348791069152457
cat__JobRole_Manager,0.5347137137053489
num__NumCompaniesWorked,0.5154866500933944
cat__TenureBucket_1-3yr,0.46715758202122604
cat__JobRole_Human Resources,0.4506442960280527
num__EnvironmentSatisfaction,0.43572084398687105
cat__MaritalStatus_Divorced,0.4356031642239338
cat__MaritalStatus_Single,0.4282736606668908
cat__EducationField_Technical Degree,0.39575550778645824
num__JobSatisfaction,0.3932835381917891
num__YearsAtCompany,0.3602490920116523
num__YearsSinceLastPromotion,0.35223861527912076
cat__TenureBucket_15yr+,0.3354171598541707
num__DistanceFromHome,0.30860858787101947
cat__EducationField_Life Sciences,0.30637590245282215
num__JobInvolvement,0.292737437898605
num__YearsWithCurrManager,0.28829429524892053
cat__Department_Sales,0.28346421424088153
num__Age,0.26757628228206315
num__RelationshipSatisfaction,0.24261908512020203
num__IncomePerJobLevel,0.23666524282857032
num__PercentSalaryHike,0.2335502898178873
cat__Gender_Female,0.23147839689102145
num__WorkLifeBalance,0.2281240065236849
cat__Department_Research & Development,0.22577773345718177
cat__EducationField_Medical,0.2028282399519259
cat__JobRole_Manufacturing Director,0.2003237133564908
cat__Department_Human Resources,0.1999424728069051
num__StockOptionLevel,0.19744134777361844
num__DailyRate,0.191341889272639
num__YearsInCurrentRole,0.19008087966740922
num__TrainingTimesLastYear,0.18705750792347617
cat__TenureBucket_3-7yr,0.16240414355856728
cat__TenureBucket_7-15yr,0.1619337734378046
cat__MaritalStatus_Married,0.13492648846616032
num__PromotionGapRatio,0.13182291624566264
num__PerformanceRating,0.11343898069816605
num__ManagerTenureRatio,0.11166043443209592
cat__JobRole_Research Scientist,0.10959204280464038
cat__BusinessTravel_Travel_Rarely,0.1059831063044544
num__JobLevel,0.1027479886299858
cat__Gender_Male,0.08922240486781792
cat__JobRole_Sales Executive,0.06865628884735599
num__HourlyRate,0.037189276304441174
cat__EducationField_Marketing,0.03245528546439426
num__Education,0.013464056230853737
num__MonthlyRate,0.011635890211645234
