threshold,tpr,fpr
0.0,1.0,1.0
0.01,1.0,0.979757085020243
0.02,0.9787234042553191,0.9352226720647774
0.03,0.9787234042553191,0.9068825910931174
0.04,0.9574468085106383,0.8785425101214575
0.05,0.9574468085106383,0.8421052631578947
0.06,0.9574468085106383,0.8137651821862348
0.07,0.9574468085106383,0.7894736842105263
0.08,0.9574468085106383,0.757085020242915
0.09,0.9574468085106383,0.7368421052631579
0.1,0.9574468085106383,0.7044534412955465
0.11,0.9574468085106383,0.6842105263157895
0.12,0.9574468085106383,0.659919028340081
0.13,0.9574468085106383,0.6437246963562753
0.14,0.9574468085106383,0.6153846153846154
0.15,0.9361702127659575,0.6072874493927125
0.16,0.9361702127659575,0.5870445344129555
0.17,0.9361702127659575,0.5748987854251012
0.18,0.9361702127659575,0.562753036437247
0.19,0.9148936170212766,0.5384615384615384
0.2,0.8936170212765957,0.5263157894736842
0.21,0.8936170212765957,0.5222672064777328
0.22,0.8936170212765957,0.5141700404858299
0.23,0.8723404255319149,0.5020242914979757
0.24,0.8723404255319149,0.4898785425101215
0.25,0.8723404255319149,0.4534412955465587
0.26,0.8723404255319149,0.44534412955465585
0.27,0.8723404255319149,0.42105263157894735
0.28,0.8723404255319149,0.3967611336032389
0.29,0.8723404255319149,0.39271255060728744
0.3,0.8723404255319149,0.39271255060728744
0.31,0.8723404255319149,0.3724696356275304
0.32,0.851063829787234,0.3643724696356275
0.33,0.8297872340425532,0.3522267206477733
0.34,0.8085106382978723,0.340080971659919
0.35,0.8085106382978723,0.32388663967611336
0.36,0.7872340425531915,0.31983805668016196
0.37,0.7872340425531915,0.3117408906882591
0.38,0.7659574468085106,0.2874493927125506
0.39,0.7659574468085106,0.2874493927125506
0.4,0.7446808510638298,0.2834008097165992
0.41,0.7446808510638298,0.27530364372469635
0.42,0.7446808510638298,0.26720647773279355
0.43,0.7446808510638298,0.2631578947368421
0.44,0.7446808510638298,0.2631578947368421
0.45,0.7446808510638298,0.2550607287449393
0.46,0.723404255319149,0.24696356275303644
0.47,0.723404255319149,0.2388663967611336
0.48,0.723404255319149,0.23076923076923078
0.49,0.7021276595744681,0.22672064777327935
0.5,0.6808510638297872,0.22267206477732793
0.51,0.6595744680851063,0.20647773279352227
0.52,0.6382978723404256,0.20242914979757085
0.53,0.6382978723404256,0.1902834008097166
0.54,0.6382978723404256,0.17408906882591094
0.55,0.6382978723404256,0.1659919028340081
0.56,0.6382978723404256,0.15789473684210525
0.57,0.5957446808510638,0.15789473684210525
0.58,0.5957446808510638,0.14979757085020243
0.59,0.5957446808510638,0.12955465587044535
0.6,0.5957446808510638,0.1214574898785425
0.61,0.5957446808510638,0.1214574898785425
0.62,0.5957446808510638,0.11336032388663968
0.63,0.574468085106383,0.10931174089068826
0.64,0.5319148936170213,0.10526315789473684
0.65,0.5319148936170213,0.10526315789473684
0.66,0.5319148936170213,0.08906882591093117
0.67,0.5319148936170213,0.08906882591093117
0.68,0.5106382978723404,0.08906882591093117
0.69,0.48936170212765956,0.07692307692307693
0.7,0.425531914893617,0.06882591093117409
0.71,0.3829787234042553,0.06882591093117409
0.72,0.3829787234042553,0.06882591093117409
0.73,0.3617021276595745,0.06882591093117409
0.74,0.3617021276595745,0.06477732793522267
0.75,0.3404255319148936,0.06477732793522267
0.76,0.3404255319148936,0.06477732793522267
0.77,0.3191489361702128,0.06072874493927125
0.78,0.3191489361702128,0.05263157894736842
0.79,0.3191489361702128,0.05263157894736842
0.8,0.3191489361702128,0.044534412955465584
0.81,0.3191489361702128,0.03643724696356275
0.82,0.3191489361702128,0.032388663967611336
0.83,0.3191489361702128,0.02834008097165992
0.84,0.2978723404255319,0.024291497975708502
0.85,0.2978723404255319,0.024291497975708502
0.86,0.2765957446808511,0.020242914979757085
0.87,0.2765957446808511,0.020242914979757085
0.88,0.2553191489361702,0.016194331983805668
0.89,0.2127659574468085,0.012145748987854251
0.9,0.2127659574468085,0.012145748987854251
0.91,0.1702127659574468,0.004048582995951417
0.92,0.14893617021276595,0.004048582995951417
0.93,0.10638297872340426,0.004048582995951417
0.94,0.10638297872340426,0.0
0.95,0.06382978723404255,0.0
0.96,0.06382978723404255,0.0
0.97,0.06382978723404255,0.0
0.98,0.06382978723404255,0.0
0.99,0.02127659574468085,0.0
1.0,0.0,0.0
